name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,latitude, longitude 
Hoba,11890,Valid,"Iron, IVB",60000000,Found,1/01/1920 0:00,-19.58333,17.91667,-19.583330, 17.916670
Cape York,5262,Valid,"Iron, IIIAB",58200000,Found,01/01/1818 12:00:00 AM,76.13333,-64.93333,("76.133330, -64.933330)"
Fukang,34491,Valid,"Pallasite, PMG",1003000,Found,1/01/2000 0:00,44.43333,87.63333,"(44.433330, 87.633330)"
Bilibino,5046,Valid,"Iron, IIAB",1000000,Found,1/01/1981 0:00,67.3,160.8,"(67.300000, 160.800000)"
Zacatecas (1792),30381,Valid,"Iron, ungrouped",1000000,Found,01/01/1792 12:00:00 AM,22.81667,-102.56667,"(22.816670, -102.566670)"
Los Sauces,14710,Valid,Iron,997000,Found,1/01/1937 0:00,-29.41667,-66.85,"(-29.416670, -66.850000)"
Tucson,24061,Valid,"Iron, ungrouped",975000,Found,01/01/1850 12:00:00 AM,31.85,-110.96667,"(31.850000, -110.966670)"
Cosby's Creek,5450,Valid,"Iron, IAB-MG",960000,Found,01/01/1837 12:00:00 AM,35.78333,-83.25,"(35.783330, -83.250000)"
Imilac,12025,Valid,"Pallasite, PMG",920000,Found,01/01/1822 12:00:00 AM,-24.20333,-68.80667,"(-24.203330, -68.806670)"
Zhigansk,30405,Valid,"Iron, IIIAB",900000,Found,1/01/1966 0:00,68,128.3,"(68.000000, 128.300000)"
Bondoc,5103,Valid,Mesosiderite-B4,888600,Found,1/01/1956 0:00,13.51667,122.45,"(13.516670, 122.450000)"
Santa Rosa,23167,Valid,"Iron, IC",825000,Found,01/01/1810 12:00:00 AM,5.91667,-73,"(5.916670, -73.000000)"
Brahin,5130,Valid,"Pallasite, PMG",823000,Found,01/01/1810 12:00:00 AM,52.5,30.33333,"(52.500000, 30.333330)"
Red River,22548,Valid,"Iron, IIIAB",800000,Found,01/01/1808 12:00:00 AM,32,-95,"(32.000000, -95.000000)"
Sardis,23177,Valid,"Iron, IAB complex",800000,Found,1/01/1940 0:00,32.94889,-81.865,"(32.948890, -81.865000)"
Wolf Creek,24326,Valid,"Iron, IIIAB",760000,Found,1/01/1947 0:00,-19.3,127.76667,"(-19.300000, 127.766670)"
Esquel,10054,Valid,"Pallasite, PMG",755000,Found,1/01/1951 0:00,-42.9,-71.33333,"(-42.900000, -71.333330)"
Gladstone (iron),10920,Valid,"Iron, IAB-MG",736600,Found,1/01/1915 0:00,-23.9,151.3,"(-23.900000, 151.300000)"
Mount Dooling,16771,Valid,"Iron, IC",734000,Found,1/01/1909 0:00,-29.45,119.71667,"(-29.450000, 119.716670)"
Krasnojarsk,12356,Valid,"Pallasite, PMG-an",700000,Found,01/01/1749 12:00:00 AM,54.9,91.8,"(54.900000, 91.800000)"
Plainview (1917),18841,Valid,H5,700000,Found,1/01/1917 0:00,34.11667,-101.78333,"(34.116670, -101.783330)"
Davis Mountains,6615,Valid,"Iron, IIIAB",689000,Found,1/01/1903 0:00,30.75,-104.25,"(30.750000, -104.250000)"
Arispe,2332,Valid,"Iron, IC",683000,Found,01/01/1896 12:00:00 AM,30.33333,-109.98333,"(30.333330, -109.983330)"
Zerhamra,30403,Valid,"Iron, IIIAB-an",630000,Found,1/01/1967 0:00,29.85861,-2.645,"(29.858610, -2.645000)"
Itapuranga,12057,Valid,"Iron, IAB-MG",628000,Found,,-15.58333,-50.15,"(-15.583330, -50.150000)"
La Caille,12393,Valid,"Iron, ungrouped",626000,Found,01/01/1828 12:00:00 AM,43.73333,6.78333,"(43.733330, 6.783330)"
Jianshi,12087,Valid,"Iron, IIIAB",600000,Fell,01/01/1890 12:00:00 AM,30.80833,109.5,"(30.808330, 109.500000)"
Adzhi-Bogdo (iron),389,Valid,"Iron, IAB complex",582000,Found,1/01/1952 0:00,44.86667,95.41667,"(44.866670, 95.416670)"
Long Island,14694,Valid,L6,564000,Found,01/01/1891 12:00:00 AM,39.93333,-99.6,"(39.933330, -99.600000)"
Jiddat al Harasis 073,12135,Valid,L6,550000,Found,1/01/2002 0:00,19.7,55.73333,"(19.700000, 55.733330)"
Rateldraai,22397,Valid,"Iron, IIIAB",549000,Found,1/01/1909 0:00,-28.83333,21.13333,"(-28.833330, 21.133330)"
Drum Mountains,7733,Valid,"Iron, IIIAB",529000,Found,1/01/1944 0:00,39.5,-112.9,"(39.500000, -112.900000)"
Grant,10957,Valid,"Iron, IIIAB",525000,Found,1/01/1929 0:00,35.16667,-107.88333,"(35.166670, -107.883330)"
Tamentit,23798,Valid,"Iron, IIIAB",510000,Found,01/01/1864 12:00:00 AM,27.71667,-0.25,"(27.716670, -0.250000)"
Trenton,24045,Valid,"Iron, IIIAB",505000,Found,01/01/1858 12:00:00 AM,43.36667,-88.13333,"(43.366670, -88.133330)"
Haig,11471,Valid,"Iron, IIIAB",503000,Found,1/01/1951 0:00,-31.38333,125.63333,"(-31.383330, 125.633330)"
Knyahinya,12335,Valid,L/LL5,500000,Fell,01/01/1866 12:00:00 AM,48.9,22.4,"(48.900000, 22.400000)"
Ochansk,17979,Valid,H4,500000,Fell,01/01/1887 12:00:00 AM,57.78333,55.26667,"(57.783330, 55.266670)"
Boxhole,5126,Valid,"Iron, IIIAB",500000,Found,1/01/1937 0:00,-22.61667,135.2,"(-22.616670, 135.200000)"
El Timbu,7820,Valid,Iron,500000,Found,1/01/1942 0:00,-33.11667,-60.96667,"(-33.116670, -60.966670)"
Prambanan,18884,Valid,"Iron, ungrouped",500000,Found,01/01/1797 12:00:00 AM,-7.56667,110.83333,"(-7.566670, 110.833330)"
Wildara,24265,Valid,H5,500000,Found,1/01/1968 0:00,-28.23333,120.85,"(-28.233330, 120.850000)"
Jepara,53840,Valid,"Pallasite, PMG",499500,Found,1/01/2008 0:00,-6.6,110.73333,"(-6.600000, 110.733330)"
Saint-Aubin,23096,Valid,"Iron, IIIAB",472000,Found,1/01/1968 0:00,48.48333,3.58333,"(48.483330, 3.583330)"
Carbo,5266,Valid,"Iron, IID",454000,Found,1/01/1923 0:00,29.66667,-111.5,"(29.666670, -111.500000)"
Etter,10062,Valid,L5,450000,Found,1/01/1965 0:00,35.98333,-101.9,"(35.983330, -101.900000)"
Sayh al Uhaymir 001,23193,Valid,L5,450000,Found,1/01/2000 0:00,20.51667,56.66667,"(20.516670, 56.666670)"
Wallapai,24206,Valid,"Iron, IID",430000,Found,1/01/1927 0:00,35.8,-113.7,"(35.800000, -113.700000)"
Yanhuitlan,30349,Valid,"Iron, IVA",421000,Found,01/01/1825 12:00:00 AM,17.53333,-97.35,"(17.533330, -97.350000)"
Sahara 02500,22809,Valid,L3,410850,Found,1/01/2001 0:00,,,
Paragould,18101,Valid,LL5,408000,Fell,1/01/1930 0:00,36.06667,-90.5,"(36.066670, -90.500000)"
Allan Hills A76009,1316,Valid,L6,407000,Found,1/01/1976 0:00,-76.71667,159.66667,"(-76.716670, 159.666670)"
Augustinovka,4898,Valid,"Iron, IIIAB",400000,Found,01/01/1890 12:00:00 AM,48.06667,35.08333,"(48.066670, 35.083330)"
Pei Xian,18784,Valid,Iron,400000,Found,1/01/1917 0:00,34.7,117,"(34.700000, 117.000000)"
Mount Joy,16779,Valid,"Iron, IIAB",384000,Found,01/01/1887 12:00:00 AM,39.78333,-77.21667,"(39.783330, -77.216670)"
Mont Dieu,16722,Valid,"Iron, ungrouped",360000,Found,1/01/1994 0:00,49.55,4.86667,"(49.550000, 4.866670)"
Hugoton,11984,Valid,H5,350000,Found,1/01/1927 0:00,37.2,-101.35,"(37.200000, -101.350000)"
Longtian,14696,Valid,"Iron, IIIAB",350000,Found,1/01/1991 0:00,27.35,108.5,"(27.350000, 108.500000)"
Kokstad,12341,Valid,"Iron, IIIE",341000,Found,01/01/1884 12:00:00 AM,-30.55,29.41667,"(-30.550000, 29.416670)"
Bjurböle,5064,Valid,L/LL4,330000,Fell,01/01/1899 12:00:00 AM,60.4,25.8,"(60.400000, 25.800000)"
Millbillillie,16643,Valid,Eucrite-mmict,330000,Fell,1/01/1960 0:00,-26.45,120.36667,"(-26.450000, 120.366670)"
Mount Edith,16773,Valid,"Iron, IIIAB",326000,Found,1/01/1913 0:00,-22.5,116.16667,"(-22.500000, 116.166670)"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,1/01/1990 0:00,53.66667,55.98333,"(53.666670, 55.983330)"
Seymchan,23510,Valid,"Pallasite, PMG",323300,Found,1/01/1967 0:00,62.9,152.43333,"(62.900000, 152.433330)"
Estherville,10059,Valid,Mesosiderite-A3/4,320000,Fell,01/01/1879 12:00:00 AM,43.41667,-94.83333,"(43.416670, -94.833330)"
Tamarugal,23794,Valid,"Iron, IIIAB",320000,Found,1/01/1903 0:00,-20.8,-69.66667,"(-20.800000, -69.666670)"
Guffey,11441,Valid,"Iron, ungrouped",309000,Found,1/01/1907 0:00,38.76667,-105.51667,"(38.766670, -105.516670)"
Nova Petropolis,17928,Valid,"Iron, IIIAB",305000,Found,1/01/1967 0:00,-29.43333,-50.91667,"(-29.433330, -50.916670)"
Bruderheim,5156,Valid,L6,303000,Fell,1/01/1960 0:00,53.9,-112.88333,"(53.900000, -112.883330)"
Gressk,11200,Valid,"Iron, IIAB",303000,Found,1/01/1955 0:00,53.23333,27.33333,"(53.233330, 27.333330)"
Mocs,16709,Valid,L5-6,300000,Fell,01/01/1882 12:00:00 AM,46.8,24.03333,"(46.800000, 24.033330)"
Putinga,18905,Valid,L6,300000,Fell,1/01/1937 0:00,-29.03333,-53.05,"(-29.033330, -53.050000)"
North Chile,17001,Valid,"Iron, IIAB",300000,Found,01/01/1875 12:00:00 AM,-23,-69,"(-23.000000, -69.000000)"
Northwest Africa 4037,34309,Valid,L4-6,300000,Found,1/01/2005 0:00,,,
Tianlin,23983,Valid,"Iron, IAB complex",300000,Found,1/01/1956 0:00,24.3,106.1,"(24.300000, 106.100000)"
Morland,16746,Valid,H6,295000,Found,01/01/1890 12:00:00 AM,39.33333,-100.06667,"(39.333330, -100.066670)"
Bur-Abor,5166,Valid,"Iron, IIIAB",290000,Found,1/01/1997 0:00,3.98333,41.65,"(3.983330, 41.650000)"
Estacado,10057,Valid,H6,290000,Found,01/01/1883 12:00:00 AM,33.9,-101.75,"(33.900000, -101.750000)"
Morasko,16741,Valid,"Iron, IAB-MG",290000,Found,1/01/1914 0:00,52.46667,16.9,"(52.466670, 16.900000)"
Clovis (no. 1),5385,Valid,H3.6,283000,Found,1/01/1961 0:00,34.3,-103.13472,"(34.300000, -103.134720)"
Rio Limay,22609,Valid,L5,280000,Found,1/01/1995 0:00,-39.85,-69.48333,"(-39.850000, -69.483330)"
Sanclerlandia,23132,Valid,"Iron, IIIAB",279000,Found,1/01/1971 0:00,-16.21667,-50.3,"(-16.216670, -50.300000)"
South Dahna,23677,Valid,"Iron, IAB complex",275000,Found,1/01/1957 0:00,22.56667,48.3,"(22.566670, 48.300000)"
Mount Padbury,16785,Valid,Mesosiderite-A1,272000,Found,1/01/1964 0:00,-25.66667,118.1,"(-25.666670, 118.100000)"
Saint-Séverin,23102,Valid,LL6,271000,Fell,1/01/1966 0:00,45.3,0.23333,"(45.300000, 0.233330)"
Lake Murray,12446,Valid,"Iron, IIAB",270000,Found,1/01/1933 0:00,34.1,-97,"(34.100000, -97.000000)"
Miles,16641,Valid,"Iron, IIE",265000,Found,1/01/1992 0:00,-27.83333,150.33333,"(-27.833330, 150.333330)"
Potter,18878,Valid,L6,261000,Found,1/01/1941 0:00,41.23333,-103.3,"(41.233330, -103.300000)"
Suizhou,23738,Valid,L6,260000,Fell,1/01/1986 0:00,31.61667,113.46667,"(31.616670, 113.466670)"
Tishomingo,24010,Valid,"Iron, ungrouped",260000,Found,1/01/1965 0:00,34.25,-96.68333,"(34.250000, -96.683330)"
Dalgety Downs,5507,Valid,L4,257000,Found,1/01/1941 0:00,-25.33333,116.18333,"(-25.333330, 116.183330)"
Boguslavka,5098,Valid,"Iron, IIAB",256000,Fell,1/01/1916 0:00,44.55,131.63333,"(44.550000, 131.633330)"
Dhofar 020,6719,Valid,H4/5,256000,Found,1/01/2000 0:00,19.03333,54.51667,"(19.033330, 54.516670)"
Uegit,24105,Valid,"Iron, IIIAB",252000,Found,1/01/1921 0:00,3.81667,43.33333,"(3.816670, 43.333330)"
Omolon,18019,Valid,"Pallasite, PMG",250000,Fell,1/01/1981 0:00,64.02,161.80833,"(64.020000, 161.808330)"
Pultusk,18901,Valid,H5,250000,Fell,01/01/1868 12:00:00 AM,52.76667,21.26667,"(52.766670, 21.266670)"
Netschaëvo,16949,Valid,"Iron, IIE-an",250000,Found,01/01/1846 12:00:00 AM,54.23333,35.15,"(54.233330, 35.150000)"
Shangdu,23523,Valid,"Iron, IIIAB",247000,Found,1/01/1957 0:00,42.5,114,"(42.500000, 114.000000)"
St. Genevieve County,23086,Valid,"Iron, IIIF",244500,Found,01/01/1888 12:00:00 AM,37.96667,-90.31667,"(37.966670, -90.316670)"
El Hammami,7806,Valid,H5,240000,Found,1/01/1997 0:00,23.28333,-10.81667,"(23.283330, -10.816670)"
Northwest Africa 4528,44961,Valid,H5,239976,Found,1/01/2006 0:00,,,
Sacramento Mountains,22794,Valid,"Iron, IIIAB",237200,Found,01/01/1890 12:00:00 AM,32.91667,-104.66667,"(32.916670, -104.666670)"
Homestead,11901,Valid,L5,230000,Fell,01/01/1875 12:00:00 AM,41.8,-91.86667,"(41.800000, -91.866670)"
New Concord,16953,Valid,L6,230000,Fell,01/01/1860 12:00:00 AM,40,-81.76667,"(40.000000, -81.766670)"
Muonionalusta,16873,Valid,"Iron, IVA",230000,Found,1/01/1906 0:00,67.8,23.1,"(67.800000, 23.100000)"
Alfianello,466,Valid,L6,228000,Fell,01/01/1883 12:00:00 AM,45.26667,10.15,"(45.266670, 10.150000)"
Bear Creek,4982,Valid,"Iron, IIIAB",227000,Found,01/01/1866 12:00:00 AM,39.6,-105.3,"(39.600000, -105.300000)"
Holbrook,11894,Valid,L/LL6,220000,Fell,1/01/1912 0:00,34.9,-110.18333,"(34.900000, -110.183330)"
Guixi,11446,Valid,"Iron, IIIAB",220000,Found,,28.28333,117.18333,"(28.283330, 117.183330)"
Youxi,55793,Valid,Mesosiderite-C,218000,Found,1/01/2006 0:00,26.06,118.01,"(26.060000, 118.010000)"
Acuña,373,Valid,"Iron, IIIAB",217700,Found,1/01/1981 0:00,29.31667,-100.96667,"(29.316670, -100.966670)"
Ssyromolotovo,23694,Valid,"Iron, IIIAB",217000,Found,01/01/1873 12:00:00 AM,58.61667,98.93333,"(58.616670, 98.933330)"
Chinga,5353,Valid,"Iron, ungrouped",209400,Found,1/01/1913 0:00,51.05833,94.4,"(51.058330, 94.400000)"
Kainsaz,12229,Valid,CO3.2,200000,Fell,1/01/1937 0:00,55.43333,53.25,"(55.433330, 53.250000)"
Kunashak,12377,Valid,L6,200000,Fell,1/01/1949 0:00,55.78333,61.36667,"(55.783330, 61.366670)"
Saratov,23176,Valid,L4,200000,Fell,1/01/1918 0:00,52.55,46.55,"(52.550000, 46.550000)"
Barratta,4951,Valid,L4,200000,Found,01/01/1845 12:00:00 AM,-35.3,144.56667,"(-35.300000, 144.566670)"
Dimmitt,7645,Valid,H3.7,200000,Found,1/01/1942 0:00,34.58333,-102.16667,"(34.583330, -102.166670)"
Jiddat al Harasis 055,12119,Valid,L4-5,200000,Found,1/01/2004 0:00,19.65167,55.69,"(19.651670, 55.690000)"
Liangcheng,14645,Valid,"Iron, IIIAB",200000,Found,1/01/1959 0:00,40.5,112.5,"(40.500000, 112.500000)"
Moshesh,16756,Valid,H,200000,Found,,-30.1,28.71667,"(-30.100000, 28.716670)"
Northwest Africa 4544,45508,Valid,E,200000,Found,1/01/2006 0:00,,,
Northwest Africa 4561,45516,Valid,E,200000,Found,1/01/2006 0:00,,,
Patos de Minas (octahedrite),18114,Valid,"Iron, IAB complex",200000,Found,1/01/1925 0:00,-18.58333,-46.53333,"(-18.583330, -46.533330)"
Porto Alegre,52091,Valid,"Iron, IIIE",200000,Found,1/01/2005 0:00,-30.03306,-51.23,"(-30.033060, -51.230000)"
Pallasovka,34061,Valid,"Pallasite, PMG",198000,Found,1/01/1990 0:00,49.86667,46.61167,"(49.866670, 46.611670)"
Kenton County,12280,Valid,"Iron, IIIAB",194000,Found,01/01/1889 12:00:00 AM,38.81667,-84.6,"(38.816670, -84.600000)"
Owens Valley,18061,Valid,"Iron, IIIAB",192800,Found,1/01/1913 0:00,37.46667,-118,"(37.466670, -118.000000)"
Guanghua,11434,Valid,"Iron, IVA",190000,Found,1/01/1932 0:00,32.4,111.7,"(32.400000, 111.700000)"
Admire,380,Valid,"Pallasite, PMG",180000,Found,01/01/1881 12:00:00 AM,38.7,-96.1,"(38.700000, -96.100000)"
Northwest Africa 2924,33374,Valid,Mesosiderite,180000,Found,1/01/2005 0:00,,,
Travis County (a),24040,Valid,H5,175400,Found,01/01/1889 12:00:00 AM,30.3,-97.7,"(30.300000, -97.700000)"
Zag,30384,Valid,H3-6,175000,Fell,1/01/1998 0:00,27.33333,-9.33333,"(27.333330, -9.333330)"
Iron Creek,12047,Valid,"Iron, IIIAB",175000,Found,01/01/1869 12:00:00 AM,53,-112,"(53.000000, -112.000000)"
Tanokami Mountain,23872,Valid,"Iron, IIIE",174000,Found,01/01/1885 12:00:00 AM,34.91667,135.96667,"(34.916670, 135.966670)"
Tamir-Tsetserleg,23799,Valid,Stone-uncl,173000,Found,1/01/1956 0:00,47.45,101.47917,"(47.450000, 101.479170)"
Owasco,18060,Valid,L6,168400,Found,1/01/1984 0:00,41.2,-103.68333,"(41.200000, -103.683330)"
Madoc,15381,Valid,"Iron, IIIAB",168000,Found,01/01/1854 12:00:00 AM,44.5,-77.46667,"(44.500000, -77.466670)"
Manlai,15407,Valid,"Iron, ungrouped",166800,Found,1/01/1954 0:00,44.33333,106.5,"(44.333330, 106.500000)"
Djati-Pengilon,7652,Valid,H6,166000,Fell,01/01/1884 12:00:00 AM,-7.5,111.5,"(-7.500000, 111.500000)"
Durango,7751,Valid,"Iron, IIIAB",164000,Found,01/01/1804 12:00:00 AM,,,
São Julião de Moreira,23172,Valid,"Iron, IIAB",162000,Found,01/01/1883 12:00:00 AM,41.76611,-8.58361,"(41.766110, -8.583610)"
Zaragoza,48916,Valid,"Iron, IVA-an",162000,Found,,41.65,-0.86667,"(41.650000, -0.866670)"
Knowles,12334,Valid,"Iron, IIIAB",161000,Found,1/01/1903 0:00,36.9,-100.21667,"(36.900000, -100.216670)"
Tenham,23897,Valid,L6,160000,Fell,01/01/1879 12:00:00 AM,-25.73333,142.95,"(-25.733330, 142.950000)"
Garabato,10856,Valid,H5,160000,Found,1/01/1995 0:00,-28.86667,-60.2,"(-28.866670, -60.200000)"
Qijiaojing,54610,Valid,"Iron, ungrouped",160000,Found,1/01/2003 0:00,43.75,92.91667,"(43.750000, 92.916670)"
Mount Vernon,16806,Valid,"Pallasite, PMG",159000,Found,01/01/1868 12:00:00 AM,36.93333,-87.4,"(36.933330, -87.400000)"
Longchang,14695,Valid,"Iron, IVA-an",158500,Found,01/01/1781 12:00:00 AM,29.3,105.3,"(29.300000, 105.300000)"
Kimble County,12311,Valid,H6,153800,Found,1/01/1918 0:00,30.41667,-99.4,"(30.416670, -99.400000)"
Bluff (a),5087,Valid,L5,153300,Found,01/01/1878 12:00:00 AM,29.87861,-96.87222,"(29.878610, -96.872220)"
Forest City,10119,Valid,H5,152000,Fell,01/01/1890 12:00:00 AM,43.25,-93.66667,"(43.250000, -93.666670)"
Glasatovo,10926,Valid,H4,152000,Fell,1/01/1918 0:00,57.35,37.61667,"(57.350000, 37.616670)"
Northwest Africa 5940,50826,Valid,H5-6,151000,Found,1/01/2009 0:00,0,0,"(0.000000, 0.000000)"
Yardymly,30352,Valid,"Iron, IAB complex",150200,Fell,1/01/1959 0:00,38.93333,48.25,"(38.933330, 48.250000)"
Mbale,15455,Valid,L5/6,150000,Fell,1/01/1992 0:00,1.06667,34.16667,"(1.066670, 34.166670)"
Olivenza,18013,Valid,LL5,150000,Fell,1/01/1924 0:00,38.71667,-7.06667,"(38.716670, -7.066670)"
Weston,24249,Valid,H4,150000,Fell,01/01/1807 12:00:00 AM,41.266667,-73.266667,"(41.266667, -73.266667)"
Wiluna,24281,Valid,H5,150000,Fell,1/01/1967 0:00,-26.59278,120.32833,"(-26.592780, 120.328330)"
Jalu,12070,Valid,L6,150000,Found,1/01/2000 0:00,27.95833,21.68333,"(27.958330, 21.683330)"
Magura,15388,Valid,"Iron, IAB-MG",150000,Found,01/01/1840 12:00:00 AM,49.33333,19.48333,"(49.333330, 19.483330)"
McKinney,15463,Valid,L4,150000,Found,01/01/1870 12:00:00 AM,33.18333,-96.71667,"(33.183330, -96.716670)"
